Seq. No.,2022 NAICS US   Code,2022 NAICS US Title,,
,,,,
1,11,"Agriculture, Forestry, Fishing and Hunting",,
2,111,Crop Production,,
3,1111,Oilseed and Grain Farming,,
4,11111,Soybean Farming,,
5,111110,Soybean Farming,,
6,11112,Oilseed (except Soybean) Farming,,
7,111120,Oilseed (except Soybean) Farming ,, 
8,11113,Dry Pea and Bean Farming,,
9,111130,Dry Pea and Bean Farming ,,
10,11114,Wheat Farming,,
11,111140,Wheat Farming,,
12,11115,Corn Farming,,
13,111150,Corn Farming ,,
14,11116,Rice Farming,,
15,111160,Rice Farming,,
16,11119,Other Grain Farming,,
17,111191,Oilseed and Grain Combination Farming ,,
18,111199,All Other Grain Farming ,,
19,1112,Vegetable and Melon Farming,,
20,11121,Vegetable and Melon Farming,,
21,111211,Potato Farming ,,
22,111219,Other Vegetable (except Potato) and Melon Farming ,,
23,1113,Fruit and Tree Nut Farming,,
24,11131,Orange Groves,,
25,111310,Orange Groves,,
26,11132,Citrus (except Orange) Groves,,
27,111320,Citrus (except Orange) Groves ,,
28,11133,Noncitrus Fruit and Tree Nut Farming,,
29,111331,Apple Orchards ,,
30,111332,Grape Vineyards ,,
31,111333,Strawberry Farming ,,
32,111334,Berry (except Strawberry) Farming ,,
33,111335,Tree Nut Farming ,,
34,111336,Fruit and Tree Nut Combination Farming ,,
35,111339,Other Noncitrus Fruit Farming ,,
36,1114,"Greenhouse, Nursery, and Floriculture Production",,
37,11141,Food Crops Grown Under Cover,,
38,111411,Mushroom Production ,,
39,111419,Other Food Crops Grown Under Cover ,,
40,11142,Nursery and Floriculture Production,,
41,111421,Nursery and Tree Production ,,
42,111422,Floriculture Production ,,
43,1119,Other Crop Farming,,
44,11191,Tobacco Farming,,
45,111910,Tobacco Farming,,
46,11192,Cotton Farming,,
47,111920,Cotton Farming,,
48,11193,Sugarcane Farming,,
49,111930,Sugarcane Farming,,
50,11194,Hay Farming,,
51,111940,Hay Farming ,,
52,11199,All Other Crop Farming,,
53,111991,Sugar Beet Farming ,,
54,111992,Peanut Farming ,,
55,111998,All Other Miscellaneous Crop Farming ,,
56,112,Animal Production and Aquaculture,,
57,1121,Cattle Ranching and Farming,,
58,11211,"Beef Cattle Ranching and Farming, including Feedlots",,
59,112111,Beef Cattle Ranching and Farming ,,
60,112112,Cattle Feedlots ,,
61,11212,Dairy Cattle and Milk Production,,
62,112120,Dairy Cattle and Milk Production,,
63,11213,Dual-Purpose Cattle Ranching and Farming,,
64,112130,Dual-Purpose Cattle Ranching and Farming ,,
65,1122,Hog and Pig Farming,,
66,11221,Hog and Pig Farming,,
67,112210,Hog and Pig Farming ,,
68,1123,Poultry and Egg Production,,
69,11231,Chicken Egg Production,,
70,112310,Chicken Egg Production ,,
71,11232,Broilers and Other Meat Type Chicken Production,,
72,112320,Broilers and Other Meat Type Chicken Production ,,
73,11233,Turkey Production,,
74,112330,Turkey Production,,
75,11234,Poultry Hatcheries,,
76,112340,Poultry Hatcheries,,
77,11239,Other Poultry Production,,
78,112390,Other Poultry Production ,,
79,1124,Sheep and Goat Farming,,
80,11241,Sheep Farming,,
81,112410,Sheep Farming,,
82,11242,Goat Farming,,
83,112420,Goat Farming,,
84,1125,Aquaculture,,
85,11251,Aquaculture,,
86,112511,Finfish Farming and Fish Hatcheries ,,
87,112512,Shellfish Farming ,,
88,112519,Other Aquaculture ,,
89,1129,Other Animal Production,,
90,11291,Apiculture,,
91,112910,Apiculture,,
92,11292,Horses and Other Equine Production,,
93,112920,Horses and Other Equine Production,,
94,11293,Fur-Bearing Animal and Rabbit Production,,
95,112930,Fur-Bearing Animal and Rabbit Production,,
96,11299,All Other Animal Production,,
97,112990,All Other Animal Production ,,
98,113,Forestry and Logging,,
99,1131,Timber Tract Operations,,
100,11311,Timber Tract Operations,,
101,113110,Timber Tract Operations,,
102,1132,Forest Nurseries and Gathering of Forest Products,,
103,11321,Forest Nurseries and Gathering of Forest Products,,
104,113210,Forest Nurseries and Gathering of Forest Products ,,
105,1133,Logging,,
106,11331,Logging,,
107,113310,Logging ,,
108,114,"Fishing, Hunting and Trapping",,
109,1141,Fishing,,
110,11411,Fishing,,
111,114111,Finfish Fishing ,,
112,114112,Shellfish Fishing ,,
113,114119,Other Marine Fishing ,,
114,1142,Hunting and Trapping,,
115,11421,Hunting and Trapping,,
116,114210,Hunting and Trapping,,
117,115,Support Activities for Agriculture and Forestry,,
118,1151,Support Activities for Crop Production,,
119,11511,Support Activities for Crop Production,,
120,115111,Cotton Ginning ,,
121,115112,"Soil Preparation, Planting, and Cultivating ",,
122,115113,"Crop Harvesting, Primarily by Machine ",,
123,115114,Postharvest Crop Activities (except Cotton Ginning) ,,
124,115115,Farm Labor Contractors and Crew Leaders ,,
125,115116,Farm Management Services ,,
126,1152,Support Activities for Animal Production,,
127,11521,Support Activities for Animal Production,,
128,115210,Support Activities for Animal Production,,
129,1153,Support Activities for Forestry,,
130,11531,Support Activities for Forestry,,
131,115310,Support Activities for Forestry,,
132,21,"Mining, Quarrying, and Oil and Gas Extraction",,
133,211,Oil and Gas Extraction,,
134,2111,Oil and Gas Extraction,,
135,21112,Crude Petroleum Extraction ,,
136,211120,Crude Petroleum Extraction ,,
137,21113,Natural Gas Extraction ,,
138,211130,Natural Gas Extraction ,,
139,212,Mining (except Oil and Gas),,
140,2121,Coal Mining,,
141,21211,Coal Mining,,
142,212114,Surface Coal Mining ,,
143,212115,Underground Coal Mining ,,
144,2122,Metal Ore Mining,,
145,21221,Iron Ore Mining,,
146,212210,Iron Ore Mining,,
147,21222,Gold Ore and Silver Ore Mining,,
148,212220,Gold Ore and Silver Ore Mining ,,
149,21223,"Copper, Nickel, Lead, and Zinc Mining",,
150,212230,"Copper, Nickel, Lead, and Zinc Mining ",,
151,21229,Other Metal Ore Mining,,
152,212290,Other Metal Ore Mining ,,
153,2123,Nonmetallic Mineral Mining and Quarrying,,
154,21231,Stone Mining and Quarrying,,
155,212311,Dimension Stone Mining and Quarrying ,,
156,212312,Crushed and Broken Limestone Mining and Quarrying ,,
157,212313,Crushed and Broken Granite Mining and Quarrying ,,
158,212319,Other Crushed and Broken Stone Mining and Quarrying ,,
159,21232,"Sand, Gravel, Clay, and Ceramic and Refractory Minerals Mining and Quarrying",,
160,212321,Construction Sand and Gravel Mining ,,
161,212322,Industrial Sand Mining ,,
162,212323,"Kaolin, Clay, and Ceramic and Refractory Minerals Mining ",,
163,21239,Other Nonmetallic Mineral Mining and Quarrying,,
164,212390,Other Nonmetallic Mineral Mining and Quarrying ,,
165,213,Support Activities for Mining,,
166,2131,Support Activities for Mining,,
167,21311,Support Activities for Mining,,
168,213111,Drilling Oil and Gas Wells,,
169,213112,Support Activities for Oil and Gas Operations ,,
170,213113,Support Activities for Coal Mining ,,
171,213114,Support Activities for Metal Mining ,,
172,213115,Support Activities for Nonmetallic Minerals (except Fuels) Mining ,,
173,22,Utilities,,
174,221,Utilities ,,
175,2211,"Electric Power Generation, Transmission and Distribution",,
176,22111,Electric Power Generation ,,
177,221111,Hydroelectric Power Generation ,,
178,221112,Fossil Fuel Electric Power Generation ,,
179,221113,Nuclear Electric Power Generation ,,
180,221114,Solar Electric Power Generation ,,
181,221115,Wind Electric Power Generation ,,
182,221116,Geothermal Electric Power Generation ,,
183,221117,Biomass Electric Power Generation ,,
184,221118,Other Electric Power Generation ,,
185,22112,"Electric Power Transmission, Control, and Distribution ",,
186,221121,Electric Bulk Power Transmission and Control ,,
187,221122,Electric Power Distribution ,,
188,2212,Natural Gas Distribution ,,
189,22121,Natural Gas Distribution ,,
190,221210,Natural Gas Distribution ,,
191,2213,"Water, Sewage and Other Systems ",,
192,22131,Water Supply and Irrigation Systems ,,
193,221310,Water Supply and Irrigation Systems ,,
194,22132,Sewage Treatment Facilities ,,
195,221320,Sewage Treatment Facilities ,,
196,22133,Steam and Air-Conditioning Supply ,,
197,221330,Steam and Air-Conditioning Supply ,,
198,23,Construction,,
199,236,Construction of Buildings,,
200,2361,Residential Building Construction,,
201,23611,Residential Building Construction,,
202,236115,New Single-Family Housing Construction (except For-Sale Builders) ,,
203,236116,New Multifamily Housing Construction (except For-Sale Builders) ,,
204,236117,New Housing For-Sale Builders ,,
205,236118,Residential Remodelers ,,
206,2362,Nonresidential Building Construction,,
207,23621,Industrial Building Construction,,
208,236210,Industrial Building Construction ,,
209,23622,Commercial and Institutional Building Construction,,
210,236220,Commercial and Institutional Building Construction ,,
211,237,Heavy and Civil Engineering Construction,,
212,2371,Utility System Construction,,
213,23711,Water and Sewer Line and Related Structures Construction,,
214,237110,Water and Sewer Line and Related Structures Construction ,,
215,23712,Oil and Gas Pipeline and Related Structures Construction,,
216,237120,Oil and Gas Pipeline and Related Structures Construction ,,
217,23713,Power and Communication Line and Related Structures Construction,,
218,237130,Power and Communication Line and Related Structures Construction ,,
219,2372,Land Subdivision,,
220,23721,Land Subdivision,,
221,237210,Land Subdivision ,,
222,2373,"Highway, Street, and Bridge Construction",,
223,23731,"Highway, Street, and Bridge Construction",,
224,237310,"Highway, Street, and Bridge Construction ",,
225,2379,Other Heavy and Civil Engineering Construction,,
226,23799,Other Heavy and Civil Engineering Construction,,
227,237990,Other Heavy and Civil Engineering Construction ,,
228,238,Specialty Trade Contractors,,
229,2381,"Foundation, Structure, and Building Exterior Contractors",,
230,23811,Poured Concrete Foundation and Structure Contractors ,,
231,238110,Poured Concrete Foundation and Structure Contractors ,,
232,23812,Structural Steel and Precast Concrete Contractors ,,
233,238120,Structural Steel and Precast Concrete Contractors ,,
234,23813,Framing Contractors ,,
235,238130,Framing Contractors ,,
236,23814,Masonry Contractors ,,
237,238140,Masonry Contractors ,,
238,23815,Glass and Glazing Contractors ,,
239,238150,Glass and Glazing Contractors ,,
240,23816,Roofing Contractors ,,
241,238160,Roofing Contractors ,,
242,23817,Siding Contractors ,,
243,238170,Siding Contractors ,,
244,23819,"Other Foundation, Structure, and Building Exterior Contractors ",,
245,238190,"Other Foundation, Structure, and Building Exterior Contractors ",,
246,2382,Building Equipment Contractors,,
247,23821,Electrical Contractors and Other Wiring Installation Contractors,,
248,238210,Electrical Contractors and Other Wiring Installation Contractors,,
249,23822,"Plumbing, Heating, and Air-Conditioning Contractors",,
250,238220,"Plumbing, Heating, and Air-Conditioning Contractors ",,
251,23829,Other Building Equipment Contractors,,
252,238290,Other Building Equipment Contractors ,,
253,2383,Building Finishing Contractors,,
254,23831,Drywall and Insulation Contractors,,
255,238310,Drywall and Insulation Contractors ,,
256,23832,Painting and Wall Covering Contractors,,
257,238320,Painting and Wall Covering Contractors,,
258,23833,Flooring Contractors,,
259,238330,Flooring Contractors,,
260,23834,Tile and Terrazzo Contractors,,
261,238340,Tile and Terrazzo Contractors,,
262,23835,Finish Carpentry Contractors,,
263,238350,Finish Carpentry Contractors,,
264,23839,Other Building Finishing Contractors,,
265,238390,Other Building Finishing Contractors,,
266,2389,Other Specialty Trade Contractors,,
267,23891,Site Preparation Contractors,,
268,238910,Site Preparation Contractors,,
269,23899,All Other Specialty Trade Contractors,,
270,238990,All Other Specialty Trade Contractors,,
271,31-33,Manufacturing,,
272,311,Food Manufacturing,,
273,3111,Animal Food Manufacturing,,
274,31111,Animal Food Manufacturing,,
275,311111,Dog and Cat Food Manufacturing ,,
276,311119,Other Animal Food Manufacturing ,,
277,3112,Grain and Oilseed Milling,,
278,31121,Flour Milling and Malt Manufacturing,,
279,311211,Flour Milling ,,
280,311212,Rice Milling ,,
281,311213,Malt Manufacturing ,,
282,31122,Starch and Vegetable Fats and Oils Manufacturing,,
283,311221,Wet Corn Milling and Starch Manufacturing ,,
284,311224,Soybean and Other Oilseed Processing ,,
285,311225,Fats and Oils Refining and Blending ,,
286,31123,Breakfast Cereal Manufacturing,,
287,311230,Breakfast Cereal Manufacturing,,
288,3113,Sugar and Confectionery Product Manufacturing,,
289,31131,Sugar Manufacturing,,
290,311313,Beet Sugar Manufacturing ,,
291,311314,Cane Sugar Manufacturing ,,
292,31134,Nonchocolate Confectionery Manufacturing,,
293,311340,Nonchocolate Confectionery Manufacturing,,
294,31135,Chocolate and Confectionery Manufacturing,,
295,311351,Chocolate and Confectionery Manufacturing from Cacao Beans ,,
296,311352,Confectionery Manufacturing from Purchased Chocolate ,,
297,3114,Fruit and Vegetable Preserving and Specialty Food Manufacturing,,
298,31141,Frozen Food Manufacturing,,
299,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing ",,
300,311412,Frozen Specialty Food Manufacturing ,,
301,31142,"Fruit and Vegetable Canning, Pickling, and Drying",,
302,311421,Fruit and Vegetable Canning ,,
303,311422,Specialty Canning ,,
304,311423,Dried and Dehydrated Food Manufacturing ,,
305,3115,Dairy Product Manufacturing,,
306,31151,Dairy Product (except Frozen) Manufacturing,,
307,311511,Fluid Milk Manufacturing ,,
308,311512,Creamery Butter Manufacturing ,,
309,311513,Cheese Manufacturing ,,
310,311514,"Dry, Condensed, and Evaporated Dairy Product Manufacturing ",,
311,31152,Ice Cream and Frozen Dessert Manufacturing,,
312,311520,Ice Cream and Frozen Dessert Manufacturing,,
313,3116,Animal Slaughtering and Processing,,
314,31161,Animal Slaughtering and Processing,,
315,311611,Animal (except Poultry) Slaughtering ,,
316,311612,Meat Processed from Carcasses ,,
317,311613,Rendering and Meat Byproduct Processing ,,
318,311615,Poultry Processing ,,
319,3117,Seafood Product Preparation and Packaging,,
320,31171,Seafood Product Preparation and Packaging,,
321,311710,Seafood Product Preparation and Packaging,,
322,3118,Bakeries and Tortilla Manufacturing,,
323,31181,Bread and Bakery Product Manufacturing,,
324,311811,Retail Bakeries ,,
325,311812,Commercial Bakeries ,,
326,311813,"Frozen Cakes, Pies, and Other Pastries Manufacturing ",,
327,31182,"Cookie, Cracker, and Pasta Manufacturing",,
328,311821,Cookie and Cracker Manufacturing ,,
329,311824,"Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour ",,
330,31183,Tortilla Manufacturing,,
331,311830,Tortilla Manufacturing,,
332,3119,Other Food Manufacturing,,
333,31191,Snack Food Manufacturing,,
334,311911,Roasted Nuts and Peanut Butter Manufacturing ,,
335,311919,Other Snack Food Manufacturing ,,
336,31192,Coffee and Tea Manufacturing,,
337,311920,Coffee and Tea Manufacturing,,
338,31193,Flavoring Syrup and Concentrate Manufacturing,,
339,311930,Flavoring Syrup and Concentrate Manufacturing,,
340,31194,Seasoning and Dressing Manufacturing,,
341,311941,"Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing ",,
342,311942,Spice and Extract Manufacturing ,,
343,31199,All Other Food Manufacturing,,
344,311991,Perishable Prepared Food Manufacturing ,,
345,311999,All Other Miscellaneous Food Manufacturing ,,
346,312,Beverage and Tobacco Product Manufacturing,,
347,3121,Beverage Manufacturing,,
348,31211,Soft Drink and Ice Manufacturing,,
349,312111,Soft Drink Manufacturing ,,
350,312112,Bottled Water Manufacturing ,,
351,312113,Ice Manufacturing ,,
352,31212,Breweries,,
353,312120,Breweries,,
354,31213,Wineries,,
355,312130,Wineries ,,
356,31214,Distilleries,,
357,312140,Distilleries ,,
358,3122,Tobacco Manufacturing,,
359,31223,Tobacco Manufacturing,,
360,312230,Tobacco Manufacturing ,,
361,313,Textile Mills,,
362,3131,"Fiber, Yarn, and Thread Mills",,
363,31311,"Fiber, Yarn, and Thread Mills",,
364,313110,"Fiber, Yarn, and Thread Mills ",,
365,3132,Fabric Mills,,
366,31321,Broadwoven Fabric Mills,,
367,313210,Broadwoven Fabric Mills,,
368,31322,Narrow Fabric Mills and Schiffli Machine Embroidery,,
369,313220,Narrow Fabric Mills and Schiffli Machine Embroidery,,
370,31323,Nonwoven Fabric Mills,,
371,313230,Nonwoven Fabric Mills,,
372,31324,Knit Fabric Mills,,
373,313240,Knit Fabric Mills,,
374,3133,Textile and Fabric Finishing and Fabric Coating Mills,,
375,31331,Textile and Fabric Finishing Mills,,
376,313310,Textile and Fabric Finishing Mills ,,
377,31332,Fabric Coating Mills,,
378,313320,Fabric Coating Mills,,
379,314,Textile Product Mills,,
380,3141,Textile Furnishings Mills,,
381,31411,Carpet and Rug Mills,,
382,314110,Carpet and Rug Mills,,
383,31412,Curtain and Linen Mills,,
384,314120,Curtain and Linen Mills,,
385,3149,Other Textile Product Mills,,
386,31491,Textile Bag and Canvas Mills,,
387,314910,Textile Bag and Canvas Mills ,,
388,31499,All Other Textile Product Mills,,
389,314994,"Rope, Cordage, Twine, Tire Cord, and Tire Fabric Mills ",,
390,314999,All Other Miscellaneous Textile Product Mills ,,
391,315,Apparel Manufacturing,,
392,3151,Apparel Knitting Mills,,
393,31512,Apparel Knitting Mills,,
394,315120,Apparel Knitting Mills,,
395,3152,Cut and Sew Apparel Manufacturing,,
396,31521,Cut and Sew Apparel Contractors ,,
397,315210,Cut and Sew Apparel Contractors ,,
398,31525,Cut and Sew Apparel Manufacturing (except Contractors) ,,
399,315250,Cut and Sew Apparel Manufacturing (except Contractors) ,,
400,3159,Apparel Accessories and Other Apparel Manufacturing,,
401,31599,Apparel Accessories and Other Apparel Manufacturing,,
402,315990,Apparel Accessories and Other Apparel Manufacturing ,,
403,316,Leather and Allied Product Manufacturing,,
404,3161,Leather and Hide Tanning and Finishing,,
405,31611,Leather and Hide Tanning and Finishing,,
406,316110,Leather and Hide Tanning and Finishing,,
407,3162,Footwear Manufacturing,,
408,31621,Footwear Manufacturing,,
409,316210,Footwear Manufacturing ,,
410,3169,Other Leather and Allied Product Manufacturing,,
411,31699,Other Leather and Allied Product Manufacturing,,
412,316990,Other Leather and Allied Product Manufacturing ,,
413,321,Wood Product Manufacturing,,
414,3211,Sawmills and Wood Preservation,,
415,32111,Sawmills and Wood Preservation,,
416,321113,Sawmills ,,
417,321114,Wood Preservation ,,
418,3212,"Veneer, Plywood, and Engineered Wood Product Manufacturing",,
419,32121,"Veneer, Plywood, and Engineered Wood Product Manufacturing",,
420,321211,Hardwood Veneer and Plywood Manufacturing ,,
421,321212,Softwood Veneer and Plywood Manufacturing ,,
422,321215,Engineered Wood Member Manufacturing ,,
423,321219,Reconstituted Wood Product Manufacturing ,,
424,3219,Other Wood Product Manufacturing,,
425,32191,Millwork,,
426,321911,Wood Window and Door Manufacturing ,,
427,321912,"Cut Stock, Resawing Lumber, and Planing ",,
428,321918,Other Millwork (including Flooring) ,,
429,32192,Wood Container and Pallet Manufacturing,,
430,321920,Wood Container and Pallet Manufacturing,,
431,32199,All Other Wood Product Manufacturing,,
432,321991,Manufactured Home (Mobile Home) Manufacturing ,,
433,321992,Prefabricated Wood Building Manufacturing ,,
434,321999,All Other Miscellaneous Wood Product Manufacturing ,,
435,322,Paper Manufacturing,,
436,3221,"Pulp, Paper, and Paperboard Mills",,
437,32211,Pulp Mills,,
438,322110,Pulp Mills ,,
439,32212,Paper Mills,,
440,322120,Paper Mills ,,
441,32213,Paperboard Mills,,
442,322130,Paperboard Mills ,,
443,3222,Converted Paper Product Manufacturing,,
444,32221,Paperboard Container Manufacturing,,
445,322211,Corrugated and Solid Fiber Box Manufacturing ,,
446,322212,Folding Paperboard Box Manufacturing ,,
447,322219,Other Paperboard Container Manufacturing ,,
448,32222,Paper Bag and Coated and Treated Paper Manufacturing,,
449,322220,Paper Bag and Coated and Treated Paper Manufacturing,,
450,32223,Stationery Product Manufacturing,,
451,322230,Stationery Product Manufacturing,,
452,32229,Other Converted Paper Product Manufacturing,,
453,322291,Sanitary Paper Product Manufacturing ,,
454,322299,All Other Converted Paper Product Manufacturing ,,
455,323,Printing and Related Support Activities,,
456,3231,Printing and Related Support Activities,,
457,32311,Printing,,
458,323111,Commercial Printing (except Screen and Books) ,,
459,323113,Commercial Screen Printing ,,
460,323117,Books Printing ,,
461,32312,Support Activities for Printing,,
462,323120,Support Activities for Printing,,
463,324,Petroleum and Coal Products Manufacturing,,
464,3241,Petroleum and Coal Products Manufacturing,,
465,32411,Petroleum Refineries,,
466,324110,Petroleum Refineries,,
467,32412,"Asphalt Paving, Roofing, and Saturated Materials Manufacturing",,
468,324121,Asphalt Paving Mixture and Block Manufacturing ,,
469,324122,Asphalt Shingle and Coating Materials Manufacturing ,,
470,32419,Other Petroleum and Coal Products Manufacturing,,
471,324191,Petroleum Lubricating Oil and Grease Manufacturing ,,
472,324199,All Other Petroleum and Coal Products Manufacturing ,,
473,325,Chemical Manufacturing,,
474,3251,Basic Chemical Manufacturing,,
475,32511,Petrochemical Manufacturing,,
476,325110,Petrochemical Manufacturing,,
477,32512,Industrial Gas Manufacturing,,
478,325120,Industrial Gas Manufacturing,,
479,32513,Synthetic Dye and Pigment Manufacturing,,
480,325130,Synthetic Dye and Pigment Manufacturing,,
481,32518,Other Basic Inorganic Chemical Manufacturing,,
482,325180,Other Basic Inorganic Chemical Manufacturing ,,
483,32519,Other Basic Organic Chemical Manufacturing,,
484,325193,Ethyl Alcohol Manufacturing ,,
485,325194,"Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing ",,
486,325199,All Other Basic Organic Chemical Manufacturing ,,
487,3252,"Resin, Synthetic Rubber, and Artificial and Synthetic Fibers and Filaments Manufacturing",,
488,32521,Resin and Synthetic Rubber Manufacturing,,
489,325211,Plastics Material and Resin Manufacturing ,,
490,325212,Synthetic Rubber Manufacturing ,,
491,32522,Artificial and Synthetic Fibers and Filaments Manufacturing,,
492,325220,Artificial and Synthetic Fibers and Filaments Manufacturing,,
493,3253,"Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing",,
494,32531,Fertilizer and Compost Manufacturing,,
495,325311,Nitrogenous Fertilizer Manufacturing ,,
496,325312,Phosphatic Fertilizer Manufacturing ,,
497,325314,Fertilizer (Mixing Only) Manufacturing ,,
498,325315,Compost Manufacturing,,
499,32532,Pesticide and Other Agricultural Chemical Manufacturing,,
500,325320,Pesticide and Other Agricultural Chemical Manufacturing,,
501,3254,Pharmaceutical and Medicine Manufacturing,,
502,32541,Pharmaceutical and Medicine Manufacturing,,
503,325411,Medicinal and Botanical Manufacturing ,,
504,325412,Pharmaceutical Preparation Manufacturing ,,
505,325413,In-Vitro Diagnostic Substance Manufacturing ,,
506,325414,Biological Product (except Diagnostic) Manufacturing ,,
507,3255,"Paint, Coating, and Adhesive Manufacturing",,
508,32551,Paint and Coating Manufacturing,,
509,325510,Paint and Coating Manufacturing,,
510,32552,Adhesive Manufacturing,,
511,325520,Adhesive Manufacturing,,
512,3256,"Soap, Cleaning Compound, and Toilet Preparation Manufacturing",,
513,32561,Soap and Cleaning Compound Manufacturing,,
514,325611,Soap and Other Detergent Manufacturing ,,
515,325612,Polish and Other Sanitation Good Manufacturing ,,
516,325613,Surface Active Agent Manufacturing ,,
517,32562,Toilet Preparation Manufacturing,,
518,325620,Toilet Preparation Manufacturing,,
519,3259,Other Chemical Product and Preparation Manufacturing,,
520,32591,Printing Ink Manufacturing,,
521,325910,Printing Ink Manufacturing,,
522,32592,Explosives Manufacturing,,
523,325920,Explosives Manufacturing,,
524,32599,All Other Chemical Product and Preparation Manufacturing,,
525,325991,Custom Compounding of Purchased Resins ,,
526,325992,"Photographic Film, Paper, Plate, Chemical, and Copy Toner Manufacturing ",,
527,325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing ,,
528,326,Plastics and Rubber Products Manufacturing,,
529,3261,Plastics Product Manufacturing,,
530,32611,Plastics Packaging Materials and Unlaminated Film and Sheet Manufacturing,,
531,326111,Plastics Bag and Pouch Manufacturing ,,
532,326112,Plastics Packaging Film and Sheet (including Laminated) Manufacturing ,,
533,326113,Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing ,,
534,32612,"Plastics Pipe, Pipe Fitting, and Unlaminated Profile Shape Manufacturing",,
535,326121,Unlaminated Plastics Profile Shape Manufacturing ,,
536,326122,Plastics Pipe and Pipe Fitting Manufacturing ,,
537,32613,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",,
538,326130,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",,
539,32614,Polystyrene Foam Product Manufacturing,,
540,326140,Polystyrene Foam Product Manufacturing,,
541,32615,Urethane and Other Foam Product (except Polystyrene) Manufacturing,,
542,326150,Urethane and Other Foam Product (except Polystyrene) Manufacturing,,
543,32616,Plastics Bottle Manufacturing,,
544,326160,Plastics Bottle Manufacturing,,
545,32619,Other Plastics Product Manufacturing,,
546,326191,Plastics Plumbing Fixture Manufacturing ,,
547,326199,All Other Plastics Product Manufacturing ,,
548,3262,Rubber Product Manufacturing,,
549,32621,Tire Manufacturing,,
550,326211,Tire Manufacturing (except Retreading) ,,
551,326212,Tire Retreading ,,
552,32622,Rubber and Plastics Hoses and Belting Manufacturing,,
553,326220,Rubber and Plastics Hoses and Belting Manufacturing,,
554,32629,Other Rubber Product Manufacturing,,
555,326291,Rubber Product Manufacturing for Mechanical Use ,,
556,326299,All Other Rubber Product Manufacturing ,,
557,327,Nonmetallic Mineral Product Manufacturing,,
558,3271,Clay Product and Refractory Manufacturing,,
559,32711,"Pottery, Ceramics, and Plumbing Fixture Manufacturing",,
560,327110,"Pottery, Ceramics, and Plumbing Fixture Manufacturing ",,
561,32712,Clay Building Material and Refractories Manufacturing,,
562,327120,Clay Building Material and Refractories Manufacturing ,,
563,3272,Glass and Glass Product Manufacturing,,
564,32721,Glass and Glass Product Manufacturing,,
565,327211,Flat Glass Manufacturing ,,
566,327212,Other Pressed and Blown Glass and Glassware Manufacturing ,,
567,327213,Glass Container Manufacturing ,,
568,327215,Glass Product Manufacturing Made of Purchased Glass ,,
569,3273,Cement and Concrete Product Manufacturing,,
570,32731,Cement Manufacturing,,
571,327310,Cement Manufacturing,,
572,32732,Ready-Mix Concrete Manufacturing,,
573,327320,Ready-Mix Concrete Manufacturing,,
574,32733,"Concrete Pipe, Brick, and Block Manufacturing",,
575,327331,Concrete Block and Brick Manufacturing ,,
576,327332,Concrete Pipe Manufacturing ,,
577,32739,Other Concrete Product Manufacturing,,
578,327390,Other Concrete Product Manufacturing ,,
579,3274,Lime and Gypsum Product Manufacturing,,
580,32741,Lime Manufacturing,,
581,327410,Lime Manufacturing,,
582,32742,Gypsum Product Manufacturing,,
583,327420,Gypsum Product Manufacturing,,
584,3279,Other Nonmetallic Mineral Product Manufacturing,,
585,32791,Abrasive Product Manufacturing,,
586,327910,Abrasive Product Manufacturing,,
587,32799,All Other Nonmetallic Mineral Product Manufacturing,,
588,327991,Cut Stone and Stone Product Manufacturing ,,
589,327992,Ground or Treated Mineral and Earth Manufacturing ,,
590,327993,Mineral Wool Manufacturing ,,
591,327999,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing ,,
592,331,Primary Metal Manufacturing,,
593,3311,Iron and Steel Mills and Ferroalloy Manufacturing,,
594,33111,Iron and Steel Mills and Ferroalloy Manufacturing,,
595,331110,Iron and Steel Mills and Ferroalloy Manufacturing ,,
596,3312,Steel Product Manufacturing from Purchased Steel,,